Alders
Alder (Alnus glutinosa)
Apples
Crab Apple (Malus sylvestris)
Ashes
Common Ash (Fraxinus excelsior)
Beeches
European Beech (Fagus sylvatica)
Birches
Silver Birch (Betula pendula)
Downy Birch (Betula pubescens)
Box
Box (Buxus sempervirens)
Cherries and Plums
Wild Cherry (Prunus avium)
Bird Cherry (Prunus padus)
Blackthorn (Prunus spinosa)
Elms
Wych Elm (Ulmus glabra)
Smooth-leaved Elm (Ulmus minor, syn. U. carpinifolia; southern Great Britain only)
Hawthorns
Common Hawthorn (Crataegus monogyna)
Midland Hawthorn (Crataegus laevigata; southern Great Britain only)
Crataegus × media - occurs as a natural hybrid wherever monogyna and laevigata overlap.
Hazels
Common Hazel (Corylus avellana)
Hollies
European Holly (Ilex aquifolium)
Hornbeams
European Hornbeam (Carpinus betulus; southern Great Britain only)
Junipers
Common Juniper (Juniperus communis)
Lindens (Limes)
Small-leaved Linden/Lime (Tilia cordata)
Large-leaved Linden/Lime (Tilia platyphyllos; southern Great Britain only)
Maples
Field Maple (Acer campestre)
Oaks
Pedunculate Oak (Quercus robur)
Sessile Oak (Quercus petraea)
Pines
Scots Pine (Pinus sylvestris)
Poplars
Aspen (Populus tremula)
Black Poplar (Populus nigra; southern Great Britain only)
Rowans and Whitebeams
European Rowan (Sorbus aucuparia)
Common Whitebeam (Sorbus aria) and several related apomictic microspecies
Service Tree (Sorbus domestica; recently discovered growing wild on a cliff in south Wales)
Wild Service Tree (Sorbus torminalis)
Strawberry Tree
Strawberry Tree (Arbutus unedo; Ireland only)
Willows (Salix spp.; several species)
Bay Willow (Salix pentandra)
Crack Willow (Salix fragilis)
White Willow (Salix alba)
Almond-leaved Willow (Salix triandra)
Yews
European Yew (Taxus baccata)
Alder Buckthorn (Frangula alnus)
Purging Buckthorn (Rhamnus cathartica)
Elder (Sambucus nigra)
Common Dogwood (Cornus sanguinea)
Rock Whitebeam (Sorbus rupicola)
(Common) Sea-buckthorn (Hippophae rhamnoides)
Spindle (Euonymus europaeus)
Sallow, Goat Willow (Salix caprea)
Grey Willow (Salix cinerea)
Purple Willow (Salix purpurea)
Common Osier (Salix viminalis)
Eared Willow (Salix aurita)
Guelder Rose (Viburnum opulus)
Wayfaring tree (Viburnum lantana)
Common Privet (Ligustrum vulgare)
Maritime Pine (Pinus pinaster; rarely)
European Black Pine (Pinus nigra; rarely)
Norway Spruce (Picea abies; rarely)
European Larch (Larix decidua)
European Pear (Pyrus communis; sometimes regarded as native)
Plymouth Pear (Pyrus cordata; sometimes regarded as native[1])
Cherry Plum (Prunus cerasifera)
Sycamore (Acer pseudoplatanus)
Norway Maple (Acer platanoides)
Sweet Chestnut (Castanea sativa; a Roman introduction)
Swedish Whitebeam (Sorbus intermedia)
Holm Oak (Quercus ilex)
Turkey Oak (Quercus cerris)
Common Horse-chestnut (Aesculus hippocastanum)
English Elm (Ulmus procera; a Roman introduction)
Japanese Larch (Larix kaempferi)
From North America
Lodgepole Pine (Pinus contorta)
Sitka Spruce (Picea sitchensis)
Black Spruce (Picea mariana; rarely)
Douglas-fir (Pseudotsuga menziesii)
Grand Fir (Abies grandis)
Western Hemlock (Tsuga heterophylla)
Western Redcedar (Thuja plicata)
Lawson's Cypress (Chamaecyparis lawsoniana)
Monterey Cypress (Cupressus macrocarpa; rarely)
Anacardiaceae
Pistacia vera
Aquifoliaceae
Ilex aquifolium
Arecaceae
Phoenix dactylifera
Betulaceae
Betula medwediewii
Betula pendula
Alnus glutinosa
Alnus incana
Alnus subcordata
Carpinus betulus
Carpinus orientalis
Corylus colurna
Ostrya carpinifolia
Buxaceae
Buxus hyrcana
Buxus sempervirens
Celtidaceae
Celtis caucasica
Celtis australis
Cupressaceae
Cupressus sempervirens
Juniperus communis
Juniperus excelsa
Juniperus foetidissima
Juniperus excelsa
Juniperus oxycedrus
Juniperus sabina
Platycladus orientalis (introduced by man)
Ebenaceae
Diospyros lotus
Elaeagnaceae
Elaeagnus angustifolia
Fabaceae
Albizia julibrissin
Cercis siliquastrum
Gleditsia caspica
Fagaceae
Castanea sativa
Fagus orientalis
Quercus boissieri
Quercus calliprinos
Quercus castaneifolia
Quercus macranthera
Quercus petraea
Quercus pontica
Quercus robur
Hamamelidaceae
Parrotia persica
Juglandaceae
Juglans regia
Pterocarya fraxinifolia
Lauraceae
Laurus nobilis
Lythraceae
Punica granatum
Malvaceae
Tilia platyphyllos subsp. caucasica
Tilia tomentosa
Moraceae
Ficus carica
Morus alba
Morus nigra
Oleaceae
Fraxinus angustifolia var. oxycarpa
Fraxinus excelsior
Fraxinus ornus
Olea europaea
Pinaceae
Pinus brutia
"Picea orientalis"
Platanaceae
Platanus orientalis
Punicaceae
Punica granatum
Rhamnaceae
Paliurus spina-christi
Rhamnus pallasii
Rosaceae
Crataegus laciniata
Crataegus tanacetifolia
Cydonia vulgaris
Malus domestica
Mespilus germanica
Prunus armeniaca
Prunus cerasifera
Prunus cerasus
Prunus dulcis
Prunus laurocerasus
Prunus persica (introduced by man)
Prunus spinosa
Pyrus communis
Sorbus aucuparia
Sorbus torminalis
Rutaceae
Citrus aurantium
Citrus decumana
Citrus delicivsus
Citrus limonum (lime)
Citrus limonum var. dulcis
Salicaceae
Populus alba
Populus euphratica
Populus nigra var. afghanica
Salix alba
Salix daphnoides
Salix viminalis
Sapindaceae
Acer campestre
Acer cappadocicum
Acer hyrcanum
Acer tataricum
Acer trautvetteri
Acer velutinum
Taxaceae
Taxus baccata
Ulmaceae
Ulmus carpinifolia
Ulmus glabra
Zelkova carpinifolia
Vitaceae
Vitis vinifera
Acanthaceae
Avicennia germinans
Anacardiaceae
Comocladia dodonaea
Spondias mombin
Annonaceae
Annona trinitensis [2]
Duguetia
Duguetia lucida
Duguetia tobagensis[2]
Rollinia
Rollinia mucosa
Rollinia exsucca[2]
Apocynaceae
