Camden College
Chalet School
Greyfriars School
The Little Female Academy
Lowood Institution
Malory Towers
Miskatonic University
St Trinian's School
Sweet Valley High
Sweet Valley University
Empire State University
Hudson University
Monster's University
Ackley Bridge College
For-Profit Online University
Grange Hill School
Hudson University
Mars University
Starfleet Academy
The Black School
Domdaniel
Cave at Salamanca
Scholomance
Aethergarde Academy
Toadblatt's Summer School of Sorcery
Burg Magic School
Balamb Garden
Brakebills College for Magical Pedagogy
Carthak University
Miss Cackle's Academy for Witches
Mis Robichaux's Academy for Exceptional Young Ladies
Roanoke Academy for the Sorcerous Arts
The School of Magic on Roke Island
Veritas
Unseen University
Will O'Wisp Academy
The Colleges of Magic
The University
University of Rhiannon
University of Salamanca Faculty of Magic
Mr Wicken's School
Starfall
Luna Nova Magical Academy
Daane University
The Institute
Wiz Tech
Ikenfell
University of Bantshire
Borchester University
The University of Bums on Seats
Burston Central University
University of Burston
Christminster University
Clyde University
Dartmouth University
University of Edgestow
Felpersham University
Fibchester University
J.P. Wynne High School
Newport Union
Springfield Elementary
Rosewood High
Riverdale High
Otter Bay
West Beverly Hilly High
Sunnydale High
Seven Seas High School
East High School
Baxter High
William McKinley High School
Chilton Prep
Capeside High
Lawndale High
Liberty High School
Bayside High
Bel-Air Academy
Constance Billard
St. Jude's
McKinley High
The Academy of Unseen Arts
John Adams Elementary
John Adams Middle School
John Adams High School
Pennbrook University
Hawkins Middle School
Neptune High
Mystic Falls High
Moordale Secondary School
Krelboyne
Edward Tilghman Middle
Wagstaff School
Hanover High School
Dillon High School
Lakewood Elementary School
Walkertown Elementary
The Harbor School
University of Gallifrey
University of Gloucester
University of Hilldene
University of Inverdoon
King's University also known as King's College Dublin
Kirke University
University College Limerick
Lowlands University
Manchester Medlock University
University of Maximegalon
University of North Yorkshire
University of Norwich
Poltowan University
Poppleton University
Rummidge University
St Luke's University Bristol
St Rule's University
St Sebastian's University
Scumbag College
Skerryvore University
Unseen University
Watermouth University
Wetherton University
Wetwang University
Wrottesley Polytechnic
Weyland Utani Technical Institute
