Engolo
Tahtib
Moraingy
Dambe
Lutte Traditionnelle
Senegalese wrestling
Istunka
Nguni stick-fighting
Nuba fighting
Capoeira
Huka-huka
Luta Livre
Vale Tudo
Brazilian jiu-jitsu
Defendo
Okichitaw
SPEAR System
Wen-Do
Colombian grima
Juego de maní
Tire machèt
Collegiate wrestling
Combatives
Emerson Combat Systems
Fast draw
Gouging
Jailhouse Rock
Jeet Kune Do
LINE Combat System
Marine Corps Martial Arts Program
Model Mugging
Shootfighting
Special Combat Aggressive Reactionary System
American Kenpo
Asia
Bangladesh
Bangladeshi martial arts
China
Chinese martial arts
India
Indian martial arts
Indonesia
Indonesian martial arts
Israel
Kapap
Krav Maga
Japan
Japanese martial arts
Korea
Korean martial arts
Laos
Muay Lao
Malaysia
Silat
Mongolia
Mongolian wrestling
Myanmar
Aka
Bando
Banshay
Lethwei
Naban
Pongyi thaing
Philippines
Filipino martial arts
Krabi–krabong
Lerdrit
Muay boran
Muay Thai
Silat Pattani
Sayokan
Matrak
Oil Wrestling
Mano Mano
Hokutoryu Ju-Jutsu
Canne de combat
French school of fencing
Gouren
Savate
German school of fencing
Ringen
Unifight
Ancient Greek boxing
Greek wrestling
Pankration
Glima
Apulian knife
Paranza Lunga
Istrumpa
Bastone Napoletano
Neapolitan Knife Fighting
Corsican Dagger Work
Canne Italiana
Bianchi Method JuJitsu
Kick Jitsu
Gladiatura Moderna
Nova Scrimia
Sistema Scrimia
Dornálaíocht
Coraíocht
Speachóireacht
Bataireacht
Кулачный бой
са́мбо
Система
Армейский Рукопашный Бой
Switzerland
Schwingen
Combat Hopak
Bare-knuckle boxing
Bartitsu
Catch wrestling
Combat pistol shooting
Defendu
English Longsword School
Historical Scottish Fencing
World War II combatives
Archery
Boxing
Fencing
Shooting
Wrestling
Coreeda
Kapu Kuialua
Hoeroa
Mau Rākau
Taiaha
Tao (spear)
Tewhatewha
Limalama
Võ thuật Bình Định
Vovinam
Võ Đạo of Phạm Văn Tan
Đấu vật
Vật cổ truyền)
Bắc Việt võ
đòn chân tấn công
Mano Mano
Suntukan
Sikaran
Dumog
Buno
Bultong
Yaw-Yan
Baston
Daga/Cuchillo
Balisong
Karambit
Kalis
Buntot Pagi
Latigo
Tabak-Toyok
Paa Paahan
Kinamutay
Sablig
Pakug
Pa-ak
Kawras
Cinco Teros
Coblete
Sinawali
Redondo
Oco Ocho
Palis Palis
Abaiko
Witik
Lobtik
Gunting
Crossada
Kadena De Mano
Hubud Lubud
Trankada
Panganaw
Ssireum
Taekkyon
Taekwondo
Subak
Tang Soo Do
Hapkido
Hanmudo
Gungdo
Bujutsu
Koryū Bujutsu
Sumo
Jujutsu
Kenjutsu
Battōjutsu
Iaijutsu
Naginatajutsu
Sōjutsu
Shinobi no jutsu
Gendai budō
Judo
Kendo
Iaidō
Aikido
Kyūdō
Karate
Shorinji Kempo
Pencak Silat
Kuntao
Caci
Fitimaen
Tinju
Tarung Derajat
Khadgavidya
Lathi khela
SpearplayDhanurvidya
Mace-fighting 
Gadayuddha
Mallayuddha
Wrestling
Boxing
Kicking
Pugilism
Bal Vidya
Bafaquan
Baguazhang
Bajiquan
Bak Mei
Changquan
Chāquán
Chin Na
Chin Woo Athletic Association
Choy gar
Choy Li Fut
Chuōjiǎo
Ditangquan
Duan Quan
Eagle Claw
Emeiquan
Fanzi
Feng Shou
Five Ancestors
Five Animals
Lau Gar
Fujian White Crane
Fu Jow Pai
Fut Gar
Heihuquan
Huaquan
Hung Fut
Hung Ga
Jik Cheung Kung Fu
Jow-Ga Kung Fu
Kunlunquan
Lai Tung Pai
Leopard Kung Fu
Li (Lee) Family
Liuhebafa
Luohan (martial arts)
Meihuaquan
Mian Quan
Mizongyi
Mok Gar
Monkey Kung Fu
Nanquan
Ng Ying Kungfu (5 Animal Kung Fu)
Northern Praying Mantis
Northern Shaolin (martial art)
Pào Chuí
Piguaquan
Pushing hands
Sanda (sport)
Shaolin Kung Fu
Shuai jiao
Snake Kung Fu
Southern Dragon Kung Fu
Southern Praying Mantis
Tai chi
Tán Tuǐ
Tien Shan Pai
Tongbeiquan
Wing Chun
Wudang quan
Xing Yi Quan
Yau Kung Moon
Yiquan
Yuejiaquan
Zi Ran Men
Lathi Khela
Boli Khela
Butthan
Naked/Kill
