Mercury
Venus
Terra
Mars
Jupiter
Saturn
Uranus
Neptune
Pluto
Luna
the ISS
Abydos
Altair IV
Anarres
Arrakis
Athas
Bara Magna
Barrayar
Beachworld
Byss
Canopus III
Cardassia IV
Ceti Alpha V
Dorvan V
Dozaria
Fyrine IV
Gamma X
Geonosis
Gunsmoke
Hellywood
Imecka
Jakku
Katina
Kerona
Kharak
Khoros
Klendathu
Kolarus III
Korhal
Korriban
M6-117
Marak's World
Motavia
Ocampa
Osiris IV
Pandora
Perdide
Plyuk
Resurgam
Rock Star
Salt
Sand Ocean
Socorro
Starbuck
Tallarn
Tatooine
Titania
Tophet
Torga IV
Toroth
Trisol
Tyree
Vega
Vulcan
Abydos
Aegis VII
Aerilon
Aldabra 
Aldébaran-4 
Altair IV 
Amel 
Antar 
Arieka 
Arrakis 
Athena 
Athos 
Aurelia 
Auriga
Avalon 
Azeroth
Balaho 
Ballybran 
Belzagor 
Big Planet 
Botany 
Bronson Alpha
Bronson Beta
Caladan 
Caprica 
Castiana
Celeschul 
Chiron 
Chorus 
Chthon 
Chu 
Cocoon 
Corneria 
Coronis 
Coruscant 
Cyteen 
Darkover 
Darwin IV 
Death Wind 
Dekuuna 
Doisac 
Demeter
Deucalion 
Dosadi
Downbelow 
Dragon's Egg 
Eayn 
Emm Luther 
Erna 
Erythro 
Eternia 
Etheria 
Far Away 
Fhloston 
Finisterre 
Fiorina 'Fury' 161 
Fleed 
Floria 
Fortuna 
Furya 
G889 
Garmilas 
Gaia 
Gallifrey 
Ganesha 
Gehenna 
Genesis 
Ghibalb 
Gor 
Gorta 
Gurun 
Halvmörk 
He 
Helghan 
Helliconia 
Hesduros 
Hesikos 
Hiigara 
Hocotate 
Homeworld 
Hydros 
Iomere 
Ireta 
Iris
Irk 
Iscandar 
Ishtar 
Isis 
Iszm 
Janjur Qom 
Kaelarot 
Karava 
Kerbin 
Kharak 
Kinniku 
Kinmoku 
Kobaïa 
Kobol 
K-PAX 
Krankor 
Kregen
Krishna 
Krull 
Kulkulkan 
Kulthea 
Kyrian 
Lagash 
La-Metal 
Lamarckia 
Land and Overland 
Leera 
Lethe 
Lithia 
LittleBigPlanet 
Lumen 
LV-223 
L V-426, Acheron 
LV-1201 
Macbeth
Macragge
Maethrillian 
Magrathea 
Majipoor 
Malurok 
Mau 
Medea 
Mejare and Tarak 
Melancholia 
Melmac 
Mermaid 
Metaluna 
Midkemia 
Minerva 
Miron 
Mist Flow
Mnemosyne 
Mobius
Mongo 
Mondas
Mor-Tax
Morthrai
Qar'To 
Muloqt 
Mül 
Nacre 
Namek
New Amazonia 
New Earth (Planet Bob) 
New Terra 
Nibiru 
Nidor 
Nihil 
Nirn 
Nessus 
Oa the Living Planet 
Oddworld
Omicron Persei 8 
Optera 
Ormazd 
Orthe 
Osiris 
Oth 
Palamok 
Pandarve 
Pandora 
Pandora 
Pax 
Peaceland 
Perdide 
Pern 
Petaybee 
Pharagos
Picon 
Planet Lucie
Planet of Blue and Red 
Planet of Rat 
Planet X 
Polyphemus
Pandora 
Pop Star 
Prysmos 
Pyrrus 
Ragnarok 
Reach 
Regis III 
Remulak 
Requiem 
Reverie 
Riverworld 
Rocheworld 
Rosetta 
Rubanis 
Rylos 
Ryn 
Saepon'kal 
Sanghelios 
Sangre 
Sartorias-deles 
Sauria 
Secilia 
Seiren 
Sera 
Shikasta
Shora 
Skaro 
Silence
Smoke Ring 
Solaris 
Soror 
Space Base Bullamanka 
SR388
Stroggos 
Suen 
Sur'Kesh 
Synobazz 
Takis 
Tallon IV 
Tanis 
Targ 
Tau Volantis 
Te 
Telos
Tencton 
Terminus 
Thalassa 
Thessia 
The Third Planet from the Black Hole
Thor 
Thoth 
Thra 
Tiamat 
Tirol 
Titan 
Tormance 
Tralfamadore 
Tran 
Tranai 
Trantor 
Tristane 
Tschai 
Tuchanka 
T'vao 
Twinsun 
Ulgethon 
Ultron 
Planet Nullius
Valyanop 
Vekta 
Vegeta 
Venom 
Vinea 
Vishnu 
Vhilinyar 
Wait-Your-Turn 
Water-O 
Worlorn 
Wormwood 
Zahir 
Zarathustra 
Zarkon 
Zavron 
Zebes 
Zeelich 
Zeist 
Zillikian 
Zyrgon 
Strangereal 
Terra Obscura 
Gaea 
Globus Cassus 
Hegira 
Kobold 
Onyx 
Orbital
Pendor
Ringworld 
Septerra 
Shell World
Strata 
Discworld 
World of Tiers
TRAPPIST-1
Hoth
Fichina
Gliese 581c
Gliese 581d
Gliese 581g
Gliese 667c 
HD 28185b
MOA-2007-BLG-192Lb
Kapteyn b
Kepler-62e
Kepler-62f
Kepler-69c
Proxima b
