Bluebird - Charles Bukowski
Do Not Go Gentle Into That Good Night - Dylan Thomas
Introduction to Poetry - Billy Collins
Sonnet 116: 'Let me not to the marriage of true minds...' - William Shakespeare
About Marriage - Denise Levertov
Stopping By Woods On A Snowy Evening - Robert Frost
Sea Fever - John Masefield
What Lips My Lips Have Kissed - Edna St. Vincent Millay
i like my body when it is with your - E.e. cummings
If You Forget Me - Pablo Neruda
Blow, Bugle, Blow - Alfred Lord Tennyson
Brimming Water by Tu Fu (712-770) - Du Fu
Lady Lazarus - Sylvia Plath
Success is counted Sweetest - Emily Dickinson
She Walks In Beauty - George Gordon Byron
Phenomenal Woman - Maya Angelou
From A German War Primer - Bertolt Brecht
You Will Hear Thunder - Anna Akhmatova
Sonnet XLIII: How Do I Love Thee? - Elizabeth Barrett Browning
Drinking Alone in the Moonlight - Li Po
Composed Upon Westminster Bridge, September 3, 1802 - William Wordsworth
Hope - Emily Jane Bronte
Rural Reflections - Adrienne Rich
Variations On The Word Love - Margaret Atwood
Renascence - Edna St. Vincent Millay
i carry your heart with me - E.e. cummings
Where The Mind Is Without Fear - Rabindranath Tagore
My Country - Dorothea Mackellar
Love - Pablo Neruda
Winter Memories - Henry David Thoreau
Woman To Man - Judith Wright
Mother To Son - Langston Hughes
A Worker Reads History - Bertolt Brecht
Advice To A Son - Ernest Hemingway
Here I Love You - Pablo Neruda
Dreamland - Lewis Carroll
may i feel said he - E.e. cummings
My Heart Leaps Up - William Wordsworth
Moonlit Night: Two Translations - Du Fu
All The World's A Stage - William Shakespeare
Mirror - Sylvia Plath
Fire And Ice - Robert Frost
The Highwayman - Alfred Noyes
There Is Pleasure In The Pathless Woods - George Gordon Byron
The Man from Snowy River - A B Banjo Paterson
The Ballad Of The Landlord - Langston Hughes
The Lion and Albert - Marriott Edgar
Funeral Blues - W H Auden
Night of the Scorpion - Nissim Ezekiel
Unending Love - Rabindranath Tagore
Dulce Et Decorum Est Pro Patria Mori - Wilfred Owen
Crossing the Bar - Alfred Lord Tennyson
Incident - Countee Cullen
The Chariot [ Because I could not stop for Death ] - Emily Dickinson
If.... - Rudyard Kipling
Himself - Alice Guerin Crist
maggie and milly and molly and may - E.e. cummings
Nothing Gold Can Stay - Robert Frost
Crucifix In A Deathhand - Charles Bukowski
When I Love - Nizar Qabbani
My Papa's Waltz - Theodore Roethke
Ballad Of Birmingham - Dudley Randall
When We Two Parted - George Gordon Byron
The Hero - Siegfried Sassoon
Alone - Edgar Allan Poe
Beach Burial - Kenneth Slessor
The War Sonnets: V The Soldier - Rupert Brooke
A Sincere Man Am I (Verse I) - Jose Marti
Daddy - Sylvia Plath
The Rose That Grew From Concrete - Tupac Shakur
Madhushala (The Tavern) - Harivansh Rai Bachchan
The Road Not Taken - Robert Frost
For The Fallen - Robert Laurence Binyon
Myself - Edgar Albert Guest
Sonnet: When I Have Fears That I May Cease To Be - John Keats
The Solitary Reaper - William Wordsworth
The Second Coming - William Butler Yeats
A Dream Within A Dream - Edgar Allan Poe
Anthem For Doomed Youth - Wilfred Owen
Romance De La Luna, Luna - Federico Garcia Lorca
Hope is the Thing with Feathers - Emily Dickinson
Feeling Fucked Up - Etheridge Knight
Risk - Anais Nin
Goodbye, My Friend, Goodbye - Sergei Aleksandrovich Esenin
Good Old Moon - Li Po
Who Said That Love Was Fire? - Patience Worth
It Couldn’t Be Done - Edgar Albert Guest
Young Sycamore - William Carlos Williams
The Sick Rose - William Blake
Child on Top of a Greenhouse - Theodore Roethke
I, Too. - Langston Hughes
Sonnet LXVI: I Do Not Love You Except Because I Love You - Pablo Neruda
Carpe Diem - Robert Frost
Eloisa to Abelard - Alexander Pope
Daydreams for Ginsberg - Jack Kerouac
Love's Secret - William Blake
A Woman to her Lover - Christina Walshe
As I Grew Older - Langston Hughes
The Crunch - Charles Bukowski
I taste a liquor never brewed - Emily Dickinson
The Surfer - Judith Wright
For My People - Margaret Walker
The First Snowfall - James Russell Lowell
The Listeners - Walter de la Mare
Jazz Fantasia - Carl Sandburg
Black spring! Pick up your pen, and weeping... - Boris Pasternak
The Kiss - Anne Sexton
O Captain! My Captain! - Walt Whitman
A River - A.K. Ramanujan
Aftermath. (Birds Of Passage. Flight The Third) - Henry Wadsworth Longfellow
On Gay Wallpaper - William Carlos Williams
The Scarecrow - Walter de la Mare
The Book of Genesis According to St. Miguelito - Miguel Pinero
Invictus: The Unconquerable - William Ernest Henley
I, Paterson - William Carlos Williams
There Was A Boy - William Wordsworth
La Bodega Sold Dreams - Miguel Pinero
Cinderella - Sylvia Plath
Silver - Walter de la Mare
South Of My Days - Judith Wright
Woman with Girdle - Anne Sexton
Nothing’s Changed - Tatamkhulu Afrika
Clancy of the Overflow - A B Banjo Paterson
Country Towns - Kenneth Slessor
Along With Youth - Ernest Hemingway
Flowers By The Sea - William Carlos Williams
Spring Offensive - Wilfred Owen
