Ambasa
Ameyal
Appletiser
Aquarius
Barq's
Beat
Beverly (discontinued in 2009)
Caffeine Free Coca-Cola
Coca-Cola Black Cherry Vanilla
Coca-Cola BlāK
Coca-Cola C2
Coca-Cola Clear
Coca-Cola Cherry
Coca-Cola Citra
Coca-Cola Life
Coca-Cola Light
Coca-Cola Light Sango
Coca-Cola Orange
Coca-Cola Orange Vanilla
Coca-Cola Raspberry
Coca-Cola Vanilla
Coca-Cola with Lemon
Coca-Cola with Lime
Coca-Cola Zero
Diet Coke
Diet Coke with Lemon
Diet Coke Lime
Diet Coke Plus
Diet Coke with Zesty Blood Orange
Diet Coke with Citrus Zest
New Coke (discontinued in 2002)
Dasani
Delaware Punch
Fanta
Fanta Citrus
Fanta Exotic
Fantasy
Cream Soda
Grape
Strawberry
Tangerine
Wild Strawberry
Orange
Wild Cherry
Fresca
Frescolihi
Frescolita
Full Throttle (now owned by Monster Energy)
Inca Kola
Diet Inca Kola
Leed (discontinued in 1984)
Lift
Lilt
Limca
Mello Yello
Moxie
Mr. Pibb
Pibb Xtra
Powerade
Sprite
Sprite Cranberry
Sprite Ice
Sprite Remix (discontinued in 2005)
Sprite Zero
Surge
Tab
Tab Clear
Tab Energy
Thums Up
Vault (discontinued in 2011)
Vault Red Blitz (discontinued in 2011)
AMP Energy
Duke's
Fayrouz
Gatorade
Mirinda
Mountain Dew
Caffeine Free Mountain Dew
Diet Mountain Dew
KickStart
Mountain Dew Baja Blast
Mountain Dew Code Red
Mountain Dew Game Fuel (promotional)
Mountain Dew Live Wire
MDX
Mountain Dew Pitch Black
Mountain Dew Pitch Black II (discontinued)
Mountain Dew Revolution (discontinued)
Mountain Dew Sangrita
Mountain Dew Super Nova (discontinued)
Mountain Dew Voltage
Mountain Dew White Out
Mountain Dew ICE Lemon Lime
Mountain Dew ICE Cherry
Mug Root Beer
Nature's Twist (regular and sugar free)
Pepsi
Diet Pepsi
Pepsi Cola
Pepsi Jazz Strawberries & Cream
Pepsi Jazz Black Cherry & Vanilla
Pepsi Lime
Pepsi Max
Pepsi Perfect
Crystal Pepsi
Pepsi Fire
Seaman's Beverages (Orange and Ginger Ale)
Sierra Mist
50/50
7 Up
A&W Cream Soda
A&W Root Beer
Barrelhead Root Beer
Cactus Cooler
Canada Dry
Canfield's Diet Chocolate Fudge
Crush
Dr Pepper
Floats
Gini
Hawaiian Punch
Hires Root Beer
IBC Root Beer
Orangina
RC Cola
Diet Rite
Nehi
Ricqlès
Schweppes
Squirt
Stewart's Fountain Classics
Sun Drop
Sunkist
Sussex Golden
Venom Energy
Vernors
Wink
Hamoud
Selecto
Slim ( Lemon )
Slim ( Orange )
orange blaze
National Beverage
Faygo
La Croix Sparkling Water
Shasta
Barr
Ale-8-One
Bawls
Big Red (soft drink)
Cheerwine
Dr Brown's
Irn-Bru
Jarritos
Jones Soda
Julmust
Kinnie
Lucozade
Monster Energy
Moxie
Nehi
Oronamin C Drink
Orangina
Pocari Sweat
Rockstar Energy
Sangria Señorial
Sidral Mundet
Sodastream
Sosyo
Tizer
Breizh Cola
Coca-Cola
Jolt Cola
Mecca Cola
Pepsi
Topsia Cola
Virgin Vanilla Cola
Green Cola
RC cola
Lemonade
Bubble up
Corona
Cresta
R. White's (Britvic)
Sprite
Britvic
Tango
Kinnie
Quatro
Solo (Australia)
Solo (Norway)
Squirt
Tropicana Tw!ster Soda
Ramune
Mineral water
Aquafina
Bilbor
Borsec
Buxton
Buziaș
Damavand
Fiji
Highland Spring
Masafi
Nectar
Nestle
Perrier
Polar Beverages
Vittel
Volvic
Volvic Revive
Voss
Copella
Cottee's
Crusha
Frijj
Izze
J2O
Kool-Aid
Minute Maid
Mott's
Orangina
Pago International
Pet
Robinsons
Suntop
Yazoo Chill
Yoo-hoo
Taste Farm
Bacon soda
Bludwine / Budwine
Liptonice
