Altamaha-ha
Bear Lake monster
Bessie
Brosno Dragon
Bunyip
Cadborosaurus
Champ
Chessie
Dingonek
Dobhar-chú
Giant anaconda
Iemisch
Igopogo
Isshii
St. Johns River Monster
Kraken
Kusshii
Lagarfljót Worm
Lake Van Monster
Loch Ness Monster
Mamlambo
Manipogo
Mokele-mbembe
Mugwump
Nahuelito
Ogopogo
Sea serpents
Selma
Steller's sea ape
Tahoe Tessie
Trinity Alps giant salamander
Terrestrial
Almas
Barmanou
Beast of Bodmin Moor
Beast of Exmoor
Bigfoot
British Big Cats
Bukit Timah Monkey Man
Chuchunya
Chupacabra
Ebu gogo
Elwetritsch
Fouke Monster
Great Spider
Honey Island Swamp monster
Lizard Man of Scape Ore Swamp
Mapinguari
Minhocão
Mngwa
Mogollon Monster
Mongolian death worm
Monkey-man of Delhi
Orang-bati
Orang Mawas
Ozark Howler
Shunka Warakin
Skunk ape
Yeren
Yeti
Yowie
Winged
Jersey Devil
Mothman
Thunderbird
